Rank,Title,Runtime,Genre,Rating,Director,Lead,Votes,Budget,Sequel,Rounded
319,The Last Duel,152,Action,7.4,Ridley Scott,Matt Damon,40,100000000,0,7
320,Man of Steel,143,Action,7.1,Zack Snyder,Henry Cavill,225,225000000,0,7
321,Shrek,90,Animation,7.9,Andrew Adamson,Mike Myers,209,60000000,0,8
322,Tropic Thunder,107,Action,7.1,Ben Stiller,Ben Stiller,149,92000000,0,7
323,Ready Player One,140,Action,7.4,Steven Spielberg,Tye Sheridan,158,175000000,0,7
324,The French Dispatch,107,Comedy,7.1,Wes Anderson,Benicio Del Toro,18,25000000,0,7
325,The Hangover,100,Comedy,7.7,Todd Phillips,Zach Galifianakis,229,35000000,0,8
326,Murder Mystery,97,Action,6,Kyle Newacheck,Adam Sandler,22,24000000,0,6
327,White Chicks,109,Comedy,5.7,Keenen Ivory Wayans,Marlon Wayans,34,37000000,0,6
328,Nightmare Alley,150,Crime,7,Guillermo del Toro,Bradley Cooper,30,60000000,0,7
329,Vadh,110,Crime,7.1,Jaspal Singh Sandhu,Sanjay Mishra,113,500000,0,7
330,Sweet Home Alabama,108,Comedy,6.2,Andy Tennant,Reese Witherspoon,14,30000000,0,6
331,Medieval,125,Action,5.9,Petr Jákl,Ben Foster,230,20300000,0,6
332,Ratatouille,111,Animation,8.1,Brad Bird,Brad Garrett,218,150000000,0,8
333,The Proposal,108,Comedy,6.7,Anne Fletcher,Sandra Bullock,122,40000000,0,7
334,A.I. Artificial Intelligence,146,Drama,7.2,Steven Spielberg,Haley Joel Osment,116,90000000,0,7
335,West Side Story,156,Crime,7.2,Steven Spielberg,Ansel Elgort,240,100000000,1,7
336,Black Widow,134,Action,6.7,Cate Shortland,Scarlett Johansson,139,200000000,1,7
337,The Pianist,150,Biography,8.5,Roman Polanski,Adrien Brody,239,35000000,0,9
338,The Equalizer,132,Action,7.2,Antoine Fuqua,Denzel Washington,133,55000000,0,7
339,Watchmen,162,Action,7.6,Zack Snyder,Jackie Earle Haley,184,120000000,0,8
340,Fast Five,130,Action,7.3,Justin Lin,Vin Diesel,138,125000000,1,7
341,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143,Adventure,6.9,Andrew Adamson,Tilda Swinton,145,180000000,0,7
342,Brimstone,148,Drama,7,Martin Koolhoven,Guy Pearce,147,14500000,0,7
343,The Hunt,115,Drama,8.3,Thomas Vinterberg,Mads Mikkelsen,123,14000000,0,8
344,Napoleon Dynamite,96,Comedy,6.9,Jared Hess,Jon Heder,70,400000,0,7
345,Zootopia,108,Animation,8,Byron Howard,Ginnifer Goodwin,174,150000000,0,8
346,Portrait of a Lady on Fire,122,Drama,8.1,Céline Sciamma,Noémie Merlant,249,5100000,0,8
347,Kill Bill: Vol. 1,111,Action,8.2,Quentin Tarantino,Uma Thurman,3,30000000,0,8
348,500 Days of Summer,95,Comedy,7.7,Marc Webb,Zooey Deschanel,178,7500000,0,8
349,Cirkus,139,Comedy,5.2,Rohit Shetty,Deepika Padukone,65,18000000,0,5
350,Father Stu,124,Biography,6.5,Rosalind Ross,Mark Wahlberg,67,4000000,0,7
351,The Martian,144,Adventure,8,Ridley Scott,Matt Damon,243,108000000,0,8
352,Blue Valentine,112,Drama,7.3,Derek Cianfrance,Ryan Gosling,62,1000000,0,7
353,Wonder Woman 1984,151,Action,5.4,Patty Jenkins,Gal Gadot,100,200000000,1,5
354,Valentine,96,Horror,4.8,Jamie Blanks,Denise Richards,104,29000000,0,5
355,Murder on the Orient Express,114,Crime,6.5,Kenneth Branagh,Kenneth Branagh,94,55000000,0,7
356,Suspiria,152,Drama,6.7,Luca Guadagnino,Chloë Grace Moretz,233,20000000,0,7
357,Red Notice,118,Action,6.3,Rawson Marshall Thurber,Dwayne Johnson,105,200000000,0,6
358,Morbius,104,Action,5.2,Daniel Espinosa,Jared Leto,20,75000000,0,5
359,Room,118,Drama,8.1,Lenny Abrahamson,Brie Larson,150,13000000,0,8
360,World War Z,116,Action,7,Marc Forster,Brad Pitt,208,190000000,0,7
361,300,117,Action,7.6,Zack Snyder,Gerard Butler,235,65000000,0,8
362,Divergent,139,Action,6.6,Neil Burger,Shailene Woodley,165,85000000,0,7
363,28 Days Later,113,Drama,7.5,Danny Boyle,Cillian Murphy,148,8000000,0,8
364,The King,140,Biography,7.3,David Michôd,Tom Glynn-Carney,23,,0,7
365,Star Wars: The Rise Of Skywalker,141,Action,6.5,J.J. Abrams,Daisy Ridley,162,275000000,1,7
366,Kung Fu Panda,92,Animation,7.6,Mark Osborne,Jack Black,168,130000000,0,8
367,Spoiler Alert,112,Comedy,7.2,Michael Showalter,Jim Parsons,112,,0,7
368,Moana,107,Animation,7.6,Ron Clements,Auli'i Cravalho,127,150000000,0,8
369,"Argentina, 1985",140,Biography,7.6,Santiago Mitre,Ricardo Darín,53,,0,8
370,Silver Linings Playbook,122,Comedy,7.7,David O. Russell,Bradley Cooper,214,21000000,0,8
371,Margin Call,107,Drama,7.1,J.C. Chandor,Zachary Quinto,24,3500000,0,7
