,Title,Runtime.x,Rating.x,Director.x,Lead.x,Votes.x,Budget,Sequel,Rounded,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical
153,The Lost City,112,6.1,Aaron Nee,Sandra Bullock,32,68000000,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Harry Potter and the Order of the Phoenix,138,7.5,David Yates,Daniel Radcliffe,179,150000000,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,The Great Gatsby,143,7.2,Baz Luhrmann,Leonardo DiCaprio,169,105000000,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
156,In Bruges,107,7.9,Martin McDonagh,Colin Farrell,141,15000000,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
157,Promising Young Woman,113,7.5,Emerald Fennell,Carey Mulligan,57,10000000,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
158,"Crazy, Stupid, Love.",118,7.4,Glenn Ficarra,Steve Carell,161,50000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,Little Women,135,7.8,Greta Gerwig,Saoirse Ronan,68,40000000,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
160,Four Good Days,100,6.5,Rodrigo García,Mila Kunis,228,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,CODA,111,8,Sian Heder,Emilia Jones,38,10000000,1,8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,The Fallout,96,7,Megan Park,Jenna Ortega,82,12000000,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Emily the Criminal,97,6.7,John Patton Ford,Aubrey Plaza,116,2000000,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
164,Hacksaw Ridge,139,8.1,Mel Gibson,Andrew Garfield,164,40000000,0,8,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
165,The Fast and the Furious,106,6.8,Rob Cohen,Vin Diesel,124,38000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,Sing 2,110,7.4,Garth Jennings,Matthew McConaughey,217,85000000,1,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Her,126,8,Spike Jonze,Joaquin Phoenix,191,23000000,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
168,The Quiet Girl,94,7.7,Colm Bairéad,Carrie Crowley,181,NA,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Green Book,130,8.2,Peter Farrelly,Viggo Mortensen,157,23000000,0,8,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
170,The Dreamers,115,7.1,Bernardo Bertolucci,Michael Pitt,30,15000000,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
171,The Grand Budapest Hotel,99,8.1,Wes Anderson,Ralph Fiennes,233,25000000,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
172,I Am Legend,101,7.2,Francis Lawrence,Will Smith,220,150000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,The Lobster,119,7.1,Yorgos Lanthimos,Colin Farrell,86,4000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,See How They Run,98,6.5,Tom George,Kieran Hodgson,151,40000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Licorice Pizza,133,7.2,Paul Thomas Anderson,Alana Haim,29,40000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,Friends with Benefits,109,6.5,Will Gluck,Mila Kunis,120,35000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,Luckiest Girl Alive,113,6.4,Mike Barker,Mila Kunis,150,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,Kingsman: The Golden Circle,141,6.7,Matthew Vaughn,Taron Egerton,107,104000000,1,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,War of the Worlds,116,6.5,Steven Spielberg,Tom Cruise,145,132000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,Avengers: Infinity War,149,8.4,Anthony Russo,Robert Downey Jr.,4,316000000,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
181,Mean Girls,97,7.1,Mark Waters,Lindsay Lohan,125,17000000,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Suicide Squad,123,5.9,David Ayer,Will Smith,212,185000000,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
183,Minions: The Rise of Gru,87,6.6,Kyle Balda,Steve Carell,209,80000000,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,John Wick: Chapter 3 - Parabellum,130,7.4,Chad Stahelski,Keanu Reeves,117,75000000,1,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
185,Under the Skin,108,6.3,Jonathan Glazer,Scarlett Johansson,45,13000000,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,The Bubble,126,4.7,Judd Apatow,Harry Trevaldwyn,84,100000000,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Split,117,7.3,M. Night Shyamalan,James McAvoy,158,9000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,Pitch Perfect,112,7.1,Jason Moore,Anna Kendrick,100,17000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,Creed II,130,7.1,Steven Caple Jr.,Michael B. Jordan,33,50000000,1,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
190,Bodies Bodies Bodies,94,6.3,Halina Reijn,Amandla Stenberg,129,90000000,0,6,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
191,Mad Max: Fury Road,120,8.1,George Miller,Tom Hardy,1,160000000,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
192,It,135,7.3,Andy Muschietti,Bill Skarsgård,170,40000000,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193,Zack Snyder's Justice League,242,8,Zack Snyder,Henry Cavill,131,70000000,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
194,Mission: Impossible - Fallout,147,7.7,Christopher McQuarrie,Tom Cruise,109,178000000,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,Harry Potter and the Deathly Hallows: Part 1,146,7.7,David Yates,Daniel Radcliffe,171,250000000,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,Marcel the Shell with Shoes On,90,7.8,Dean Fleischer Camp,Jenny Slate,26,NA,0,8,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Call Me by Your Name,132,7.8,Luca Guadagnino,Timothée Chalamet,90,3500000,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
198,The Magnificent Seven,132,6.8,Antoine Fuqua,Denzel Washington,70,2000000,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
199,Harry Potter and the Half-Blood Prince,153,7.6,David Yates,Daniel Radcliffe,168,250000000,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,Love Actually,135,7.6,Richard Curtis,Hugh Grant,155,45000000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,Sicario,121,7.6,Denis Villeneuve,Emily Blunt,142,30000000,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
202,The Lord of the Rings: The Two Towers,179,8.8,Peter Jackson,Elijah Wood,16,94000000,1,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Twilight,122,5.3,Catherine Hardwicke,Kristen Stewart,148,37000000,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
204,Till,130,7.2,Chinonye Chukwu,Danielle Deadwyler,225,20000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,Free Guy,115,7.1,Shawn Levy,Ryan Reynolds,121,120000000,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Apocalypto,139,7.8,Mel Gibson,Gerardo Taracena,101,40000000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,"Three Billboards Outside Ebbing, Missouri",115,8.1,Martin McDonagh,Frances McDormand,159,15000000,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
208,The King's Man,131,6.3,Matthew Vaughn,Ralph Fiennes,47,100000000,1,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
209,Ford v Ferrari,152,8.1,James Mangold,Matt Damon,132,97600000,0,8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,Deadpool 2,119,7.7,David Leitch,Ryan Reynolds,180,110000000,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,Sick,83,6.1,John Hyams,Gideon Adlon,242,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,Crimes of the Future,107,5.9,David Cronenberg,Viggo Mortensen,99,27000000,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,Nineteen seventeen,119,8.2,Sam Mendes,Dean-Charles Chapman,188,95000000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,Pirates of the Caribbean: The Curse of the Black Pearl,143,8.1,Gore Verbinski,Johnny Depp,5,140000000,0,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
215,Just Go with It,117,6.4,Dennis Dugan,Adam Sandler,83,80000000,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,Prey,100,7.1,Dan Trachtenberg,Amber Midthunder,63,65000000,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Crazy Rich Asians,120,6.9,Jon M. Chu,Constance Wu,56,30000000,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
218,Passengers,116,7,Morten Tyldum,Jennifer Lawrence,137,110000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,Oldboy,120,8.4,Park Chan-wook,Choi Min-sik,176,3000000,0,8,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220,Kingsman: The Secret Service,129,7.7,Matthew Vaughn,Colin Firth,207,81000000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,A Quiet Place,90,7.5,John Krasinski,Emily Blunt,165,17000000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,Drive,100,7.8,Nicolas Winding Refn,Ryan Gosling,202,15000000,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,A Star Is Born,136,7.6,Bradley Cooper,Lady Gaga,123,36000000,1,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
224,The School for Good and Evil,147,5.8,Paul Feig,Kit Young,89,NA,0,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Transformers,144,7,Michael Bay,Shia LaBeouf,196,150000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,The Irishman,209,7.8,Martin Scorsese,Robert De Niro,126,159000000,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
227,365 Days,114,3.3,Barbara Bialowas,Anna-Maria Sieklucka,244,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,Jojo Rabbit,108,7.9,Taika Waititi,Roman Griffin Davis,130,14000000,0,8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Last Seen Alive,95,5.6,Brian Goodman,Gerard Butler,74,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,Dunkirk,106,7.8,Christopher Nolan,Fionn Whitehead,205,100000000,0,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
231,Guardians of the Galaxy Vol. 2,136,7.6,James Gunn,Chris Pratt,211,200000000,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,The Bad Guys,100,6.8,Pierre Perifel,Sam Rockwell,143,70000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,Deadpool,108,8,Tim Miller,Ryan Reynolds,3,58000000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,Men,100,6.1,Alex Garland,Jessie Buckley,146,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,The Invitation,105,5.3,Jessica M. Thompson,Nathalie Emmanuel,67,10000000,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
236,Rogue One: A Star Wars Story,133,7.8,Gareth Edwards,Felicity Jones,199,200000000,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
237,The Good Nurse,121,6.8,Tobias Lindholm,Eddie Redmayne,189,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,Fury,134,7.5,David Ayer,Brad Pitt,156,68000000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,The Cabin in the Woods,95,7,Drew Goddard,Kristen Connolly,138,30000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,The Little Things,128,6.3,John Lee Hancock,Denzel Washington,24,30000000,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,The Outfit,105,7.1,Graham Moore,Mark Rylance,149,5000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,The Dark Knight Rises,164,8.4,Christopher Nolan,Christian Bale,17,250000000,1,8,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
243,Orphan: First Kill,99,5.9,William Brent Bell,Isabelle Fuhrman,115,10000000,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,The Handmaiden,145,8.1,Park Chan-wook,Kim Min-hee,48,8000000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,Fast & Furious,107,6.5,Justin Lin,Vin Diesel,92,85000000,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,Armageddon Time,114,6.5,James Gray,Anne Hathaway,239,15000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,Wrath of Man,119,7.1,Guy Ritchie,Jason Statham,60,40000000,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
248,The Age of Adaline,112,7.2,Lee Toland Krieger,Blake Lively,61,25000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,Now You See Me,115,7.2,Louis Leterrier,Jesse Eisenberg,204,75000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,Baby Driver,113,7.6,Edgar Wright,Ansel Elgort,167,34000000,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,Prometheus,124,7,Ridley Scott,Noomi Rapace,198,130000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,Last Night in Soho,116,7,Edgar Wright,Thomasin McKenzie,29,43000000,0,7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
253,Poker Face,94,5.1,Russell Crowe,Russell Crowe,210,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,A Serbian Film,104,5,Srdjan Spasojevic,Srdjan 'Zika' Todorovic,204,NA,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
255,John Wick: Chapter 2,122,7.4,Chad Stahelski,Keanu Reeves,156,40000000,1,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
256,The Hunger Games: Catching Fire,146,7.5,Francis Lawrence,Jennifer Lawrence,207,78000000,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
257,The Wonder,108,6.6,Sebastián Lelio,Florence Pugh,119,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,After,105,5.3,Jenny Gage,Josephine Langford,190,14000000,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
259,Spirited Away,125,8.6,Hayao Miyazaki,Daveigh Chase,222,19000000,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
260,Barefoot,90,6.5,Andrew Fleming,Evan Rachel Wood,86,6500000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,Atonement,123,7.8,Joe Wright,Keira Knightley,106,30000000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,The Worst Person in the World,128,7.8,Joachim Trier,Renate Reinsve,216,5600000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,The Sea Beast,115,7,Chris Williams,Karl Urban,163,NA,0,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
264,The Greatest Showman,105,7.5,Michael Gracey,Hugh Jackman,108,84000000,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
265,Remember Me,113,7.1,Allen Coulter,Robert Pattinson,31,16000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,The Stranger,117,6.6,Thomas M. Wright,Joel Edgerton,49,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,An Action Hero,130,7.1,Anirudh Iyer,Ayushmann Khurrana,84,3600000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,Arrival,116,7.9,Denis Villeneuve,Amy Adams,212,47000000,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
269,The Hobbit: An Unexpected Journey,169,7.8,Peter Jackson,Martin Freeman,237,180000000,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,Baywatch,116,5.5,Seth Gordon,Dwayne Johnson,54,69000000,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,Mrs. Harris Goes to Paris,115,7.1,Anthony Fabian,Lesley Manville,27,13000000,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Me Before You,106,7.4,Thea Sharrock,Emilia Clarke,93,20000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,"Good Luck to You, Leo Grande",97,7.2,Sophie Hyde,Emma Thompson,85,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,Spider-Man,121,7.4,Sam Raimi,Tobey Maguire,234,139000000,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
275,Furious 7,137,7.1,James Wan,Vin Diesel,142,190000000,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,Iron Man,126,7.9,Jon Favreau,Robert Downey Jr.,2,140000000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,House of Gucci,158,6.6,Ridley Scott,Lady Gaga,28,75000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,No Strings Attached,108,6.2,Ivan Reitman,Natalie Portman,74,25000000,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,Weird: The Al Yankovic Story,108,7,Eric Appel,Diedrich Bader,88,8000000,0,7,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
280,The Hateful Eight,168,7.8,Quentin Tarantino,Samuel L. Jackson,197,44000000,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
281,Triple Frontier,125,6.4,J.C. Chandor,Ben Affleck,21,115000000,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
282,Oblivion,124,7,Joseph Kosinski,Tom Cruise,179,120000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,She's the Man,105,6.3,Andy Fickman,Amanda Bynes,41,20000000,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,Enola Holmes 2,129,6.7,Harry Bradbeer,Millie Bobby Brown,228,50000000,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,Spider-Man: Into the Spider-Verse,117,8.4,Bob Persichetti,Shameik Moore,181,90000000,1,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Uncut Gems,135,7.4,Benny Safdie,Adam Sandler,110,19000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,Shang-Chi and the Legend of the Ten Rings,132,7.4,Destin Daniel Cretton,Simu Liu,141,150000000,0,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
288,Sing,108,7.1,Garth Jennings,Matthew McConaughey,46,75000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,Halloween Ends,111,5,David Gordon Green,Jamie Lee Curtis,186,33000000,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,Ad Astra,123,6.5,James Gray,Brad Pitt,81,90000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,Donnie Darko,113,8,Richard Kelly,Jake Gyllenhaal,231,4500000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,Nymphomaniac: Vol. I,117,6.9,Lars von Trier,Charlotte Gainsbourg,17,4700000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,Godzilla vs. Kong,113,6.3,Adam Wingard,Alexander Skarsgård,66,160000000,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
294,The Killing of a Sacred Deer,121,7,Yorgos Lanthimos,Barry G. Bernson,38,NA,0,7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
295,Cars,117,7.2,John Lasseter,Owen Wilson,153,120000000,0,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
296,City of God,130,8.6,Fernando Meirelles,Alexandre Rodrigues,219,3300000,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,Knight and Day,109,6.3,James Mangold,Tom Cruise,60,117000000,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,The Vow,104,6.8,Michael Sucsy,Rachel McAdams,57,30000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
