Rank,Title,Runtime,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical,Rating,Director,Lead,Votes
39,Close,104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Lukas Dhont,Eden Dambrine,"15,654"
40,Don't Worry Darling,123,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.2,Olivia Wilde,Florence Pugh,"107,924"
41,Marlowe,109,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5.4,Neil Jordan,Liam Neeson,"3,157"
42,Interstellar,169,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.6,Christopher Nolan,Matthew McConaughey,"1,876,805"
43,This Is Where I Leave You,103,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,Shawn Levy,Jason Bateman,"83,708"
44,Pearl,103,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,Ti West,Mia Goth,"49,416"
45,Smile,115,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6.6,Parker Finn,Sosie Bacon,"112,631"
46,Harry Potter and the Sorcerer's Stone,152,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.6,Chris Columbus,Daniel Radcliffe,"800,174"
47,Empire of Light,115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.6,Sam Mendes,Olivia Colman,"13,615"
48,Nope,130,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,6.8,Jordan Peele,Daniel Kaluuya,"207,365"
49,The Help,146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,Tate Taylor,Viola Davis,"467,106"
50,John Wick: Chapter 3 - Parabellum,130,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.4,Chad Stahelski,Keanu Reeves,"357,865"
51,Parasite,132,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.5,Bong Joon Ho,Song Kang-ho,"833,297"
52,Causeway,94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,Lila Neugebauer,Jennifer Lawrence,"16,863"
53,To Leslie,119,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Michael Morris,Andrea Riseborough,"9,007"
54,The Gentlemen,113,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.8,Guy Ritchie,Matthew McConaughey,"353,202"
55,John Wick: Chapter 2,122,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.4,Chad Stahelski,Keanu Reeves,"446,732"
56,Black Adam,125,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.3,Jaume Collet-Serra,Dwayne Johnson,"233,226"
57,Dune,155,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Denis Villeneuve,Timothée Chalamet,"657,075"
58,The Pale Blue Eye,128,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,6.6,Scott Cooper,Christian Bale,"96,410"
59,The Woman King,135,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.8,Gina Prince-Bythewood,Viola Davis,"55,919"
60,The Wolf of Wall Street,180,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.2,Martin Scorsese,Leonardo DiCaprio,"1,441,851"
61,Love,135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.1,Gaspar Noé,Aomi Muyock,"61,410"
62,The Lord of the Rings: The Fellowship of the Ring,178,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,Peter Jackson,Elijah Wood,"1,898,780"
63,The Hunger Games: Catching Fire,146,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.5,Francis Lawrence,Jennifer Lawrence,"676,073"
64,Promising Young Woman,113,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.5,Emerald Fennell,Carey Mulligan,"182,283"
65,Blade Runner 2049,164,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,Denis Villeneuve,Harrison Ford,"591,750"
66,Knives Out,130,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.9,Rian Johnson,Daniel Craig,"715,377"
67,Mrs. Harris Goes to Paris,115,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Anthony Fabian,Lesley Manville,"16,391"
68,Barbarian,102,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7,Zach Cregger,Georgina Campbell,"138,681"
