ID,Rank,Title,Runtime,Genre,Rating,Director,Lead,Votes
1,1,Babylon,189,Comedy,7.3,Damien Chazelle,Brad Pitt,216
2,2,Black Panther: Wakanda Forever,161,Action,6.8,Ryan Coogler,Letitia Wright,71
3,3,Avatar: The Way of Water,192,Action,7.8,James Cameron,Sam Worthington,96
4,4,The Menu,107,Horror,7.2,Mark Mylod,Ralph Fiennes,81
5,5,The Banshees of Inisherin,114,Comedy,7.8,Martin McDonagh,Colin Farrell,40
6,6,Everything Everywhere All at Once,139,Action,8,Dan Kwan,Michelle Yeoh,106
7,7,Puss in Boots: The Last Wish,102,Animation,7.9,Joel Crawford,Antonio Banderas,230
8,8,White Noise,136,Comedy,5.7,Noah Baumbach,Adam Driver,104
9,9,The Whale,117,Drama,8,Darren Aronofsky,Brendan Fraser,98
10,10,The Fabelmans,151,Drama,7.6,Steven Spielberg,Michelle Williams,174
11,11,Tár,158,Drama,7.5,Todd Field,Cate Blanchett,135
12,12,M3GAN,102,Horror,6.4,Gerard Johnstone,Allison Williams,200
13,13,Bullet Train,127,Action,7.3,David Leitch,Brad Pitt,93
14,14,Triangle of Sadness,147,Comedy,7.4,Ruben Östlund,Charlbi Dean,235
15,15,Top Gun: Maverick,130,Action,8.3,Joseph Kosinski,Tom Cruise,163
16,16,Glass Onion,139,Comedy,7.2,Rian Johnson,Daniel Craig,110
17,17,Shotgun Wedding,100,Action,5.4,Jason Moore,Jennifer Lopez,78
18,18,A Man Called Otto,126,Comedy,7.6,Marc Forster,Tom Hanks,53
19,19,All Quiet on the Western Front,148,Action,7.8,Edward Berger,Felix Kammerer,43
20,20,Aftersun,102,Drama,7.7,Charlotte Wells,Paul Mescal,122
21,21,X,105,Horror,6.6,Ti West,Mia Goth,25
22,22,The Son,123,Drama,6.1,Florian Zeller,Vanessa Kirby,94
23,23,Magic Mike,110,Comedy,6.1,Steven Soderbergh,Channing Tatum,41
24,24,The Pale Blue Eye,128,Crime,6.6,Scott Cooper,Christian Bale,236
